,,,,,,,,,,,,,,,,
3.2. Autres facteurs de risque, Accidents de la route, Nombre de tués,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=252,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route
,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués
D70 Haute-Saône,44,52, , , , , , ,33,32,23,32,23,19,17,16
D71 Saône-et-Loire,112,93, , , , , , ,63,54,60,51,57,46,34,38
D72 Sarthe,90,93, , , , , , ,40,34,42,35,48,39,27,34
D73 Savoie,51,48, , , , , , ,39,23,22,31,25,40,22,18
D74 Haute-Savoie,95,110, , , , , , ,63,54,66,39,43,49,37,46
D75 Paris,93,67, , , , , , ,37,51,45,43,51,39,29,39
D76 Seine-Maritime,129,98, , , , , , ,81,58,65,67,52,75,51,54
D77 Seine-et-Marne,170,218, , , , , , ,87,104,86,82,88,67,56,83
D78 Yvelines,134,111, , , , , , ,67,40,49,64,45,48,47,47
D79 Deux-Sèvres,59,67, , , , , , ,46,22,33,37,37,22,30,25
D80 Somme,96,80, , , , , , ,72,48,52,51,47,52,40,47
D81 Tarn,90,68, , , , , , ,40,51,39,49,36,25,24,36
D82 Tarn-et-Garonne,50,49, , , , , , ,37,24,32,34,28,32,27,24
D83 Var,154,141, , , , , , ,96,95,94,90,75,75,70,76
D84 Vaucluse,91,105, , , , , , ,76,44,49,52,45,49,45,50
D85 Vendée,98,119, , , , , , ,73,51,62,70,52,51,35,54
D86 Vienne,82,64, , , , , , ,43,34,22,36,22,26,26,27
D87 Haute-Vienne,55,55, , , , , , ,29,36,29,19,19,25,21,24
D88 Vosges,68,73, , , , , , ,43,38,35,40,37,35,25,28
D89 Yonne,78,71, , , , , , ,43,48,42,32,38,25,37,34
D90 Territoire de Belfort,17,14, , , , , , ,8,5,7,7,7,5,8,7
D91 Essonne,3062,3097, , , , , , ,38,45,27,40,43,46,29,33
D92 Hauts-de-Seine,44,42, , , , , , ,30,34,18,28,21,30,23,24
D93 Seine-Saint-Denis,55,50, , , , , , ,35,30,43,39,50,35,51,37
D94 Val-de-Marne,46,57, , , , , , ,25,30,28,27,35,32,24,25
D95 Val-d'Oise,58,68, , , , , , ,35,37,31,33,33,29,29,26
D9A Guadeloupe, , , , , , , , ,73,56,65,65,53,70,60,60
D9B Martinique, , , , , , , , ,46,35,29,37,29,31,28,32
D9C Guyane, , , , , , , , ,27,26,28,36,24,41,27,28
D9D Réunion, , , , , , , , ,72,51,48,42,42,45,39,49
D9F Mayotte, , , , , , , , , , , , , ,2,5,4
R11 Ile-de-France,694,711, , , , , , ,354,371,327,356,366,326,288,314
R21 Champagne-Ardenne,210,226, , , , , , ,120,97,131,93,117,97,83,24
R22 Picardie,335,324, , , , , , ,205,181,177,145,157,149,130,117
R23 Haute-Normandie,229,195, , , , , , ,135,126,117,114,101,108,89,94
R24 Centre,548,501, , , , , , ,288,247,256,230,229,214,195,187
R25 Basse-Normandie,2220,205, , , , , , ,121,121,123,108,94,101,81,83
R26 Bourgogne,329,312, , , , , , ,166,169,168,138,158,117,114,123
R31 Nord-Pas-de-Calais,341,355, , , , , , ,194,202,187,150,166,153,141,151
R41 Lorraine,313,344, , , , , , ,169,161,145,146,151,141,113,127
R42 Alsace,189,172, , , , , , ,109,97,95,83,75,82,60,85
R43 Franche-Comté,193,179, , , , , , ,106,110,101,116,100,93,89,97
R52 Pays de la Loire,498,505, , , , , , ,281,241,273,261,245,221,178,198
R53 Bretagne,405,337, , , , , , ,230,234,198,183,194,176,154,178
R54 Poitou-Charentes,302,286, , , , , , ,190,172,144,185,150,136,127,129
R72 Aquitaine,518,457, , , , , , ,275,247,259,223,231,248,192,187
R73 Midi-Pyrénées,473,431, , , , , , ,272,253,253,244,240,181,191,213
R74 Limousin,113,126, , , , , , ,57,70,63,52,46,54,42,46
R82 Rhône-Alpes,728,697, , , , , , ,453,373,428,381,366,351,311,292
R83 Auvergne,218,184, , , , , , ,142,75,121,111,125,79,99,93
R91 Languedoc-Roussillon,472,417, , , , , , ,273,305,274,251,262,248,213,208
R93 Provence-Alpes-Côte d'Azur,657,622, , , , , , ,439,388,387,386,363,347,339,337
R94 Corse,44,57, , , , , , ,41,35,46,36,27,31,39, 
ROM Départements d'Outre-Mer, , , , , , , , ,218,168,170,180,148, , ,173
,,,,,,,,,,,,,,,,
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA,,,,,,,,,,,,,,
